% Model:              surface_mount_package.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 26 2026, 01:45
% Dimension:          3
% Nodes:              4419
% Expressions:        1
% Description:        Temperature
% Length unit:        mm
% X                       Y                        Z                        T (K)
2.9077417788173303        4.105400966520104        -0.9000000000000001      303.3522783957309
2.517214747717147         3.8311286477110835       -1.9                     303.4065541851164
2.2533321249443397        4.2685687848284894       -0.9                     303.39794375341523
3.008572244249779         5                        -0.9                     303.30502936565466
3.8178165553661048        1.780658300567373        -1.3025330072194268      303.324173687699
5.264715719218259         1.4048256021186951       -1.9                     303.2253078276321
5.515253454950246         0.9546717509716669       -0.9000000000000001      303.2145462512281
4.569424330623678         1.625890812691492        -1.2868822900297783      303.2665232201644
4.72565510092415          1.2593781853538464       -0.9                     303.249823770217
4.2634939329552735        1.5134145391071736       -0.9000000000000001      303.27953048348684
5.402101890316769         0.6660713145172084       -1.9                     303.21825922306607
2.9758182985036177        2.2845561015263156       -1.150000000000002       303.4442863944224
2.7185144553738914        2.31371254510015         -0.9                     303.47567776856334
2.9884352754650774        2.22690434480402         -0.9                     303.4334215569226
3.447362771470451         1.899229446115175        -0.9                     303.3574224329858
3.0906485118610383        1.9284085693021469       -0.9                     303.39717681379153
3.7599600148668273        1.4561951157607345       -0.9                     303.3148152006183
1.755783250150493         2.7917269713885355       -1.084374999999996       303.8457437045727
1.8050000000000002        2.770000000000001        -0.9000000000000002      304.1969009753973
1.705                     2.8500000000000005       -0.9                     304.19512127042066
1.9050000000000002        2.690000000000001        -0.9000000000000002      304.1972747872113
2.088914505304693         2.7376559303803005       -1.149999999999999       303.7234738406103
2.4313962799465725        2.5876160017450096       -1.1499999999999981      303.5623982764309
1.8774278639436706        2.601654205164263        -1.1499999999999992      303.74936356594327
1.9495428274782876        2.4498769928979525       -0.9                     303.7153545543966
1.705                     2.6900000000000004       -0.9                     304.1965099365448
1.552349458954339         2.8084867445920256       -0.9                     303.84269996626796
1.7923478002155515        2.514241697867214        -0.9                     303.7845840945843
4.474761454892616         1.7269404154926038       -1.9                     303.26822084427386
3.1275952162863523        2.4062404604945185       -1.9                     303.39871650930485
2.7584189565509387        2.028248736615584        -1.2926651852052395      303.4516859675742
3.187323385231612         1.78196204940609         -1.400000000000001       303.3854951628138
3.625893673505992         1.9733550372808646       -1.9                     303.3365604190804
1.6213070051154053        3.3058134076790813       -0.9                     303.63433798837286
1.7101354860550109        3.1206934071171615       -1.1258413461538455      303.6924526945611
1.5546790382408873        3.0115602069679066       -0.9                     303.75399086674315
1.3862675630963548        3.1533969708597773       -0.9                     303.71370962304184
2.053106734917742         3.2640443855898114       -1.3486202633868358      303.56706392078917
1.8519034944299655        3.658577124532197        -0.9                     303.5191117387653
1.6232160451690822        3.4525352480062836       -1.3375000000000015      303.5952991494633
1.291396768011913         3.5704454296353374       -0.9000000000000001      303.61626591483395
1.5330012222615137        2.8721431624173914       -1.1499999999999975      303.7675822215569
1.3047051882879974        2.883459160224006        -0.8999999999999999      303.80443159906287
2.150479112483122         2.7944737455204374       -1.3982249149659864      303.603657753587
2.1288490098344948        3.2839310406407214       -1.9                     303.50772888134577
1.8285583092644633        3.0026026926948797       -1.4000000000000015      303.6463040802843
2.4522258152301997        2.393331694737727        -1.3189343640579303      303.52696900133907
2.470309634137798         2.180808615847781        -0.9                     303.5035229211131
2.249394502949297         2.1769136076156737       -0.9                     303.5468835556058
2.086854983852625         2.3337364619507595       -1.150000000000004       303.61508340958966
1.8001189557934132        2.735191024123587        -1.275                   303.7154826865728
2.366274897390614         2.578505485866188        -1.9                     303.50606407345305
2.5057563374404412        2.024917906975957        -1.9                     303.46593854320776
0.6998042228180075        2.9621515011035524       -0.9000000000000001      304.3053494639965
0.532626357697862         2.9803377594039184       -0.9                     304.24504221394545
0.6089852735523813        3.031101442320256        -1.0343888842162676      304.1097633816599
