mkl_pds_lp64_metis_ikeysort	0.03s	0.03s	0.36%	0.36%	busbar_example	[unknown]	0	0x7ff6d2d4d212
mkl_pds_lp64_metis_mmdelm	0.03s	0.03s	0.36%	0.36%	busbar_example	[unknown]	0	0x7ff6d2ca88c4
mkl_serv_memcpy_unbounded_s	0.03s	0.03s	0.35%	0.35%	busbar_example	[unknown]	0	0x7ff6d2bece60
mkl_pds_lp64_metis_freegraph	0.00s	0.03s	0.00%	0.34%	busbar_example	[unknown]	0	0x7ff6d2ca1b2f
mkl_pds_lp64_metis_gkfree	0.00s	0.03s	0.00%	0.34%	busbar_example	[unknown]	0	0x7ff6d2b0bd77
std::_Hash<std::_Umap_traits<mpfem::Mesh::FaceKey,int,std::_Uhash_compare<mpfem::Mesh::FaceKey,mpfem::Mesh::FaceKeyHash,std::equal_to<mpfem::Mesh::FaceKey> >,std::allocator<std::pair<mpfem::Mesh::FaceKey const ,int> >,0> >::_Try_emplace<mpfem::Mesh::FaceKey const &>	0.00s	0.03s	0.04%	0.34%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\xhash	700	0x7ff6d85f9bbf
mkl_pds_lp64_metis_fm_2waynodebalance	0.03s	0.03s	0.34%	0.34%	busbar_example	[unknown]	0	0x7ff6d2d4acf7
std::_Hash<std::_Umap_traits<mpfem::Mesh::FaceKey,mpfem::Mesh::FaceInfo,std::_Uhash_compare<mpfem::Mesh::FaceKey,mpfem::Mesh::FaceKeyHash,std::equal_to<mpfem::Mesh::FaceKey> >,std::allocator<std::pair<mpfem::Mesh::FaceKey const ,mpfem::Mesh::FaceInfo> >,0> >::_Try_emplace<mpfem::Mesh::FaceKey const &>	0.00s	0.03s	0.00%	0.31%	busbar_example	E:\env\cpp\VS14\VC\Tools\MSVC\14.50.35717\include\xhash	706	0x7ff6d85f9faf
mpfem::`anonymous namespace'::collectTopologyVertices	0.00s	0.03s	0.00%	0.31%	busbar_example	E:\code\cpp\mpfem\src\io\result_exporter.cpp	28	0x7ff6d85c4d20
mpfem::Mesh::buildEdgeToElementMap	0.01s	0.03s	0.11%	0.31%	busbar_example	E:\code\cpp\mpfem\src\mesh\mesh.cpp	324	0x7ff6d8601ba7
mpfem::ElectrostaticsSolver::applyEssentialBCs	0.00s	0.03s	0.00%	0.28%	busbar_example	E:\code\cpp\mpfem\src\physics\electrostatics_solver.cpp	49	0x7ff6d8648d23
